"municode" "sex" "age" "pop"
"5200100" "f" 65 46.4647882808599
"5200100" "f" 66 35.9391358528351
"5200100" "f" 67 56.018735361522
"5200100" "f" 68 29.1157429567062
"5200100" "f" 69 54.3552676904805
"5200100" "f" 70 80.2987970275737
"5200100" "f" 71 40.4969920466736
"5200100" "f" 72 33.8538029532322
"5200100" "f" 73 20.6411625327353
"5200100" "f" 74 22.2408178792023
"5200100" "f" 75 4.9577582578596
"5200100" "f" 76 22.4207700199699
"5200100" "f" 77 21.471220100693
"5200100" "f" 78 22.5878662397832
"5200100" "f" 79 4.3672654079861
"5200100" "f" 80 4.2980755104233
"5200100" "f" 81 3.6147469550348
"5200100" "f" 82 4.2398557257895
"5200100" "f" 86 5.222776551045
"5200100" "f" 89 4.3672654079861
"5200100" "f" 93 11.7623496602733
"5200100" "m" 0 107.296117860739
"5200100" "m" 1 80.0919658681648
"5200100" "m" 2 133.50884355337
"5200100" "m" 3 115.422868550999
"5200100" "m" 4 85.0577277762701
"5200100" "m" 5 95.1795684781901
"5200100" "m" 6 148.862245173441
"5200100" "m" 7 104.232494548768
"5200100" "m" 8 106.388739049572
"5200100" "m" 9 164.336952750023
"5200100" "m" 10 197.551833887525
"5200100" "m" 11 159.178106416577
"5200100" "m" 12 130.335644350032
"5200100" "m" 13 121.3417712164
"5200100" "m" 14 150.592644129457
"5200100" "m" 15 182.920942116435
"5200100" "m" 16 139.022462277234
"5200100" "m" 17 136.999096735098
"5200100" "m" 18 149.702070724199
"5200100" "m" 19 136.355428147027
"5200100" "m" 20 160.440941645293
"5200100" "m" 21 132.461167011522
"5200100" "m" 22 156.967719840287
"5200100" "m" 23 112.321419252305
"5200100" "m" 24 139.808752250587
"5200100" "m" 25 144.125244413871
"5200100" "m" 26 134.850941168327
"5200100" "m" 27 135.454964882529
"5200100" "m" 28 104.62744318134
"5200100" "m" 29 134.941406353928
"5200100" "m" 30 211.034072598872
"5200100" "m" 31 140.872434233988
"5200100" "m" 32 124.750799777315
"5200100" "m" 33 113.0943826417
"5200100" "m" 34 134.248310748118
"5200100" "m" 35 159.16218856505
"5200100" "m" 36 106.874955774069
"5200100" "m" 37 106.598065540681
"5200100" "m" 38 160.558254031151
"5200100" "m" 39 99.8065360890434
"5200100" "m" 40 164.853258325038
"5200100" "m" 41 61.0096352308993
"5200100" "m" 42 174.911116991639
"5200100" "m" 43 107.076474223669
"5200100" "m" 44 81.1495152287488
"5200100" "m" 45 168.712116934558
"5200100" "m" 46 76.4673640560002
"5200100" "m" 47 100.179893581996
"5200100" "m" 48 106.717868533746
"5200100" "m" 49 75.9227568936954
"5200100" "m" 50 117.59153900735
"5200100" "m" 51 103.212507156774
"5200100" "m" 52 77.4440363384858
"5200100" "m" 53 49.396547640013
"5200100" "m" 54 64.3094853846135
"5200100" "m" 55 97.6306368557389
"5200100" "m" 56 82.5652151899644
"5200100" "m" 57 42.2072277398452
"5200100" "m" 58 52.7023337606798
"5200100" "m" 59 55.9404709265287
"5200100" "m" 60 40.3867852452038
"5200100" "m" 61 59.257207778513
"5200100" "m" 62 28.863254317139
"5200100" "m" 63 83.619677781482
"5200100" "m" 64 67.8762442536569
"5200100" "m" 65 63.9201675981476
"5200100" "m" 66 34.4569853425655
"5200100" "m" 67 35.6576863332321
"5200100" "m" 68 41.517543487668
