"municode" "muniname" "sex" "age" "pop_std" "mx_std" "pop_obs" "mx_obs"
520551 "Cocalzinho de Goiás" "m" 16 1719415 0.001411 173.938415146321 0.00574916127158441
520551 "Cocalzinho de Goiás" "m" 17 1701889 0.00185 151.731883463957 0
520551 "Cocalzinho de Goiás" "m" 18 1699061 0.002182 171.712342273829 0
520551 "Cocalzinho de Goiás" "m" 19 1636331 0.002495 147.802736986907 0
520551 "Cocalzinho de Goiás" "m" 20 1698081 0.002637 196.725759316754 0
520551 "Cocalzinho de Goiás" "m" 21 1713268 0.002711 135.117115662958 0.0148019737557815
520551 "Cocalzinho de Goiás" "m" 22 1760477 0.002598 183.469547630558 0.0054504958066046
520551 "Cocalzinho de Goiás" "m" 23 1709675 0.002672 127.240681054413 0.00785912171888141
520551 "Cocalzinho de Goiás" "m" 24 1748728 0.00254 151.446896335319 0.00660297453561476
520551 "Cocalzinho de Goiás" "m" 25 1725173 0.00257 151.110647817821 0
520551 "Cocalzinho de Goiás" "m" 26 1631055 0.002698 125.876235977551 0
520551 "Cocalzinho de Goiás" "m" 27 1710763 0.002649 122.773654409463 0.0162901398481615
520551 "Cocalzinho de Goiás" "m" 28 1737767 0.002636 177.907392850905 0
520551 "Cocalzinho de Goiás" "m" 29 1656237 0.00273 179.332068944261 0
520551 "Cocalzinho de Goiás" "m" 30 1763562 0.002565 212.530197610911 0
520551 "Cocalzinho de Goiás" "m" 31 1523891 0.002941 168.606370736979 0.00593097399362193
520551 "Cocalzinho de Goiás" "m" 32 1548975 0.002813 194.128852973355 0
520551 "Cocalzinho de Goiás" "m" 33 1458789 0.002988 108.227487948512 0.0184795936587891
520551 "Cocalzinho de Goiás" "m" 34 1422441 0.003067 146.507090730245 0.0136512164020954
520551 "Cocalzinho de Goiás" "m" 35 1468144 0.003026 150.039395685156 0
520551 "Cocalzinho de Goiás" "m" 36 1344132 0.003279 236.499909756973 0
520551 "Cocalzinho de Goiás" "m" 37 1326646 0.003381 71.8900101194173 0
520551 "Cocalzinho de Goiás" "m" 38 1325659 0.003463 107.065126335862 0
520551 "Cocalzinho de Goiás" "m" 39 1302083 0.003656 108.505558102594 0
520551 "Cocalzinho de Goiás" "m" 40 1422254 0.003589 139.454328156763 0.00717080647992426
520551 "Cocalzinho de Goiás" "m" 41 1235034 0.00421 72.2382743575033 0.0138430770792095
520551 "Cocalzinho de Goiás" "m" 42 1281124 0.004296 129.727033638399 0.0077084935341033
520551 "Cocalzinho de Goiás" "m" 43 1177147 0.004796 69.7241061384021 0.0143422419502231
520551 "Cocalzinho de Goiás" "m" 44 1205009 0.005011 164.856257708932 0.0060658904544927
520551 "Cocalzinho de Goiás" "m" 45 1263401 0.005041 94.2941682173513 0.0106051097210483
520551 "Cocalzinho de Goiás" "m" 46 1173710 0.005587 135.396819363033 0
520551 "Cocalzinho de Goiás" "m" 47 1129200 0.006126 42.0624477253554 0.0237741751628305
520551 "Cocalzinho de Goiás" "m" 48 1079370 0.006555 100.796215583204 0
520551 "Cocalzinho de Goiás" "m" 49 1046333 0.006973 95.4503491110562 0
520551 "Cocalzinho de Goiás" "m" 50 1112034 0.006941 98.2496160977742 0
520551 "Cocalzinho de Goiás" "m" 51 948591 0.008496 75.2295672643931 0.0132926459152093
520551 "Cocalzinho de Goiás" "m" 52 985045 0.008501 90.180062735652 0.0110889255303729
520551 "Cocalzinho de Goiás" "m" 53 905975 0.009572 49.9610360945195 0.0200155977171517
520551 "Cocalzinho de Goiás" "m" 54 883350 0.010113 88.4593675507539 0
520551 "Cocalzinho de Goiás" "m" 55 877013 0.010413 75.9271877510036 0
520551 "Cocalzinho de Goiás" "m" 56 826882 0.011306 76.3951751062798 0
520551 "Cocalzinho de Goiás" "m" 57 751293 0.0126 61.8464002246294 0
520551 "Cocalzinho de Goiás" "m" 58 742051 0.013177 49.5863764291623 0.0201668295207772
520551 "Cocalzinho de Goiás" "m" 59 705105 0.013875 83.1652107458322 0
520551 "Cocalzinho de Goiás" "m" 60 737957 0.013753 86.9353222123243 0
520551 "Cocalzinho de Goiás" "m" 61 602476 0.017018 53.0160907467652 0.0188621979839397
520551 "Cocalzinho de Goiás" "m" 62 613839 0.016793 62.8056874854393 0.0477663746726045
520551 "Cocalzinho de Goiás" "m" 63 562959 0.018486 22.1239598943532 0
520551 "Cocalzinho de Goiás" "m" 64 523804 0.02012 48.7579790694978 0
520551 "Cocalzinho de Goiás" "m" 65 529674 0.020054 82.6189805183168 0.036311268684015
520551 "Cocalzinho de Goiás" "m" 66 468666 0.023339 57.4224037417792 0.0174148056305143
520551 "Cocalzinho de Goiás" "m" 67 440243 0.025281 36.7647660428978 0.0543999109817907
520551 "Cocalzinho de Goiás" "m" 68 408863 0.027447 31.6560637410526 0
520551 "Cocalzinho de Goiás" "m" 69 376619 0.031087 26.5016761695446 0.0377334623516828
520551 "Cocalzinho de Goiás" "m" 70 419302 0.02886 28.8181054554854 0
520551 "Cocalzinho de Goiás" "m" 71 335925 0.03716 15.042361176943 0.0664789249664344
520551 "Cocalzinho de Goiás" "m" 72 323844 0.038083 33.6592776867688 0.0891284723313975
520551 "Cocalzinho de Goiás" "m" 73 294410 0.042787 10.5949884087296 0
520551 "Cocalzinho de Goiás" "m" 74 293891 0.04338 26.2957446108829 0
520551 "Cocalzinho de Goiás" "m" 75 265369 0.047311 27.9626122128445 0.035762037980867
520551 "Cocalzinho de Goiás" "m" 76 225782 0.054313 9.4533216491424 0.211565846823951
520551 "Cocalzinho de Goiás" "m" 77 211817 0.058027 26.2953052797648 0
520551 "Cocalzinho de Goiás" "m" 78 206262 0.060515 9.2811441337696 0.107745336737255
520551 "Cocalzinho de Goiás" "m" 79 181287 0.069371 41.9976197334719 0
520551 "Cocalzinho de Goiás" "m" 80 183850 0.066989 10.2887979360879 0
520551 "Cocalzinho de Goiás" "m" 81 139772 0.084838 10.0107053385871 0.199786122191693
520551 "Cocalzinho de Goiás" "m" 82 129748 0.087369 10.6544745646004 0
520551 "Cocalzinho de Goiás" "m" 83 114919 0.093971 33.8453747739393 0.0590922692792867
520551 "Cocalzinho de Goiás" "m" 84 100334 0.102139 5.4609381812368 0
