"year" "sex" "age" "deaths"
2011 "f" 8 313
2011 "f" 9 352
2011 "f" 10 305
2011 "f" 11 376
2011 "f" 12 398
2011 "f" 13 496
2011 "f" 14 516
2011 "f" 15 711
2011 "f" 16 783
2011 "f" 17 853
2011 "f" 18 887
2011 "f" 19 928
2011 "f" 20 934
2011 "f" 21 973
2011 "f" 22 938
2011 "f" 23 1030
2011 "f" 24 1072
2011 "f" 25 1161
2011 "f" 26 1177
2011 "f" 27 1205
2011 "f" 28 1303
2011 "f" 29 1385
2011 "f" 30 1419
2011 "f" 31 1506
2011 "f" 32 1572
2011 "f" 33 1621
2011 "f" 34 1712
2011 "f" 35 1719
2011 "f" 36 1817
2011 "f" 37 1955
2011 "f" 38 1999
2011 "f" 39 2036
2011 "f" 40 2374
2011 "f" 41 2413
2011 "f" 42 2661
2011 "f" 43 2908
2011 "f" 44 3106
2011 "f" 45 3285
2011 "f" 46 3567
2011 "f" 47 3809
2011 "f" 48 4055
2011 "f" 49 4041
2011 "f" 50 4446
2011 "f" 51 4562
2011 "f" 52 4825
2011 "f" 53 5234
2011 "f" 54 5187
2011 "f" 55 5465
2011 "f" 56 5844
2011 "f" 57 5837
2011 "f" 58 6032
2011 "f" 59 6342
2011 "f" 60 6431
2011 "f" 61 6861
2011 "f" 62 6849
2011 "f" 63 7431
2011 "f" 64 7551
2011 "f" 65 7528
2011 "f" 66 7886
2011 "f" 67 8387
2011 "f" 68 8578
2011 "f" 69 8508
2011 "f" 70 8925
2011 "f" 71 10065
2011 "f" 72 10123
2011 "f" 73 10190
2011 "f" 74 10827
2011 "f" 75 11453
2011 "f" 76 11443
2011 "f" 77 11169
2011 "f" 78 11801
2011 "f" 79 12357
2011 "f" 80 13067
2011 "f" 81 13533
2011 "f" 82 13089
2011 "f" 83 13092
2011 "f" 84 12795
2011 "f" 85 12597
2011 "f" 86 12039
2011 "f" 87 11227
2011 "f" 88 10586
2011 "f" 89 9208
2011 "f" 90 8691
2011 "f" 91 8153
2011 "f" 92 6958
2011 "f" 93 6333
2011 "f" 94 5207
2011 "f" 95 4526
2011 "f" 96 3849
2011 "f" 97 2811
2011 "f" 98 2291
2011 "f" 99 1693
2011 "f" 100 1382
2011 "f" 101 957
2011 "f" 102 588
2011 "f" 103 476
2011 "f" 104 432
2011 "f" 105 353
2011 "f" 106 208
2011 "f" 107 104
2011 "f" 108 51
2011 "f" 109 48
2011 "f" 110 25
2011 "f" 111 11
2011 "f" 112 3
2011 "f" 113 4
2011 "f" 114 2
2011 "f" 115 2
2011 "f" 118 1
2011 "f" 119 1
2011 "f" 121 1
2011 "f" 122 1
2011 "f" 127 1
2011 "m" 0 20577
2011 "m" 1 1525
2011 "m" 2 908
2011 "m" 3 658
2011 "m" 4 576
2011 "m" 5 506
2011 "m" 6 469
2011 "m" 7 459
2011 "m" 8 430
2011 "m" 9 455
2011 "m" 10 485
2011 "m" 11 517
2011 "m" 12 613
2011 "m" 13 755
2011 "m" 14 1075
2011 "m" 15 1763
2011 "m" 16 2515
2011 "m" 17 3232
2011 "m" 18 3881
2011 "m" 19 4182
2011 "m" 20 4300
2011 "m" 21 4435
2011 "m" 22 4519
2011 "m" 23 4588
2011 "m" 24 4393
2011 "m" 25 4451
2011 "m" 26 4266
2011 "m" 27 4379
2011 "m" 28 4606
2011 "m" 29 4598
2011 "m" 30 4597
2011 "m" 31 4663
2011 "m" 32 4401
2011 "m" 33 4452
2011 "m" 34 4490
2011 "m" 35 4423
2011 "m" 36 4556
2011 "m" 37 4424
2011 "m" 38 4694
2011 "m" 39 4753
2011 "m" 40 5143
2011 "m" 41 5227
2011 "m" 42 5523
2011 "m" 43 5597
2011 "m" 44 6067
2011 "m" 45 6459
2011 "m" 46 6544
2011 "m" 47 7145
2011 "m" 48 7256
2011 "m" 49 7362
2011 "m" 50 7827
2011 "m" 51 8166
2011 "m" 52 8496
2011 "m" 53 9061
2011 "m" 54 9019
2011 "m" 55 9346
2011 "m" 56 9664
2011 "m" 57 9766
2011 "m" 58 10069
2011 "m" 59 10049
2011 "m" 60 10497
2011 "m" 61 10757
2011 "m" 62 10577
2011 "m" 63 11118
2011 "m" 64 11249
2011 "m" 65 10833
2011 "m" 66 11095
2011 "m" 67 11592
2011 "m" 68 11745
2011 "m" 69 11651
2011 "m" 70 11801
2011 "m" 71 13235
2011 "m" 72 12894
2011 "m" 73 12787
2011 "m" 74 12898
2011 "m" 75 13215
2011 "m" 76 12958
2011 "m" 77 12330
2011 "m" 78 12633
2011 "m" 79 12566
2011 "m" 80 12847
2011 "m" 81 12666
2011 "m" 82 11786
2011 "m" 83 11211
2011 "m" 84 10738
2011 "m" 85 10208
2011 "m" 86 9471
2011 "m" 87 8474
2011 "m" 88 7525
2011 "m" 89 6601
2011 "m" 90 5682
2011 "m" 91 5078
2011 "m" 92 4283
2011 "m" 93 3637
2011 "m" 94 2911
2011 "m" 95 2399
2011 "m" 96 2066
2011 "m" 97 1475
2011 "m" 98 1137
2011 "m" 99 853
2011 "m" 100 649
2011 "m" 101 435
2011 "m" 102 258
2011 "m" 103 203
2011 "m" 104 150
2011 "m" 105 106
2011 "m" 106 62
2011 "m" 107 34
2011 "m" 108 25
2011 "m" 109 14
2011 "m" 110 13
2011 "m" 111 3
2011 "m" 112 2
2011 "m" 113 1
2011 "m" 115 1
2011 "m" 116 1
2011 "m" 117 1
