"municode" "muniname" "year" "sex" "age" "deaths"
520025 "Águas Lindas de Goiás" 2010 "m" 62 2
520025 "Águas Lindas de Goiás" 2010 "m" 63 4
520025 "Águas Lindas de Goiás" 2010 "m" 64 5
520025 "Águas Lindas de Goiás" 2010 "m" 65 5
520025 "Águas Lindas de Goiás" 2010 "m" 66 6
520025 "Águas Lindas de Goiás" 2010 "m" 67 3
520025 "Águas Lindas de Goiás" 2010 "m" 68 2
520025 "Águas Lindas de Goiás" 2010 "m" 69 4
520025 "Águas Lindas de Goiás" 2010 "m" 70 5
520025 "Águas Lindas de Goiás" 2010 "m" 71 1
520025 "Águas Lindas de Goiás" 2010 "m" 72 2
520025 "Águas Lindas de Goiás" 2010 "m" 73 5
520025 "Águas Lindas de Goiás" 2010 "m" 74 4
520025 "Águas Lindas de Goiás" 2010 "m" 75 6
520025 "Águas Lindas de Goiás" 2010 "m" 76 6
520025 "Águas Lindas de Goiás" 2010 "m" 77 1
520025 "Águas Lindas de Goiás" 2010 "m" 78 8
520025 "Águas Lindas de Goiás" 2010 "m" 79 2
520025 "Águas Lindas de Goiás" 2010 "m" 80 1
520025 "Águas Lindas de Goiás" 2010 "m" 81 1
520025 "Águas Lindas de Goiás" 2010 "m" 82 6
520025 "Águas Lindas de Goiás" 2010 "m" 83 3
520025 "Águas Lindas de Goiás" 2010 "m" 84 3
520025 "Águas Lindas de Goiás" 2010 "m" 85 1
520025 "Águas Lindas de Goiás" 2010 "m" 88 3
520025 "Águas Lindas de Goiás" 2010 "m" 89 2
520025 "Águas Lindas de Goiás" 2010 "m" 91 2
520025 "Águas Lindas de Goiás" 2010 "m" 92 1
520025 "Águas Lindas de Goiás" 2010 "m" 94 1
520025 "Águas Lindas de Goiás" 2010 "m" 97 1
520025 "Águas Lindas de Goiás" 2010 "m" 98 1
520025 "Águas Lindas de Goiás" 2010 "m" 101 1
520025 "Águas Lindas de Goiás" 2010 "m" 102 1
520025 "Águas Lindas de Goiás" 2011 "f" 0 16
520025 "Águas Lindas de Goiás" 2011 "f" 9 1
520025 "Águas Lindas de Goiás" 2011 "f" 11 3
520025 "Águas Lindas de Goiás" 2011 "f" 13 1
520025 "Águas Lindas de Goiás" 2011 "f" 15 2
520025 "Águas Lindas de Goiás" 2011 "f" 16 1
520025 "Águas Lindas de Goiás" 2011 "f" 17 1
520025 "Águas Lindas de Goiás" 2011 "f" 18 1
520025 "Águas Lindas de Goiás" 2011 "f" 21 1
520025 "Águas Lindas de Goiás" 2011 "f" 22 2
520025 "Águas Lindas de Goiás" 2011 "f" 23 1
520025 "Águas Lindas de Goiás" 2011 "f" 26 1
520025 "Águas Lindas de Goiás" 2011 "f" 29 1
520025 "Águas Lindas de Goiás" 2011 "f" 30 1
520025 "Águas Lindas de Goiás" 2011 "f" 31 2
520025 "Águas Lindas de Goiás" 2011 "f" 33 1
520025 "Águas Lindas de Goiás" 2011 "f" 35 1
520025 "Águas Lindas de Goiás" 2011 "f" 36 1
520025 "Águas Lindas de Goiás" 2011 "f" 37 4
520025 "Águas Lindas de Goiás" 2011 "f" 38 2
520025 "Águas Lindas de Goiás" 2011 "f" 39 2
520025 "Águas Lindas de Goiás" 2011 "f" 40 1
520025 "Águas Lindas de Goiás" 2011 "f" 41 3
520025 "Águas Lindas de Goiás" 2011 "f" 42 3
520025 "Águas Lindas de Goiás" 2011 "f" 43 5
520025 "Águas Lindas de Goiás" 2011 "f" 45 2
520025 "Águas Lindas de Goiás" 2011 "f" 46 2
520025 "Águas Lindas de Goiás" 2011 "f" 47 6
520025 "Águas Lindas de Goiás" 2011 "f" 48 5
520025 "Águas Lindas de Goiás" 2011 "f" 50 1
520025 "Águas Lindas de Goiás" 2011 "f" 51 2
520025 "Águas Lindas de Goiás" 2011 "f" 53 3
520025 "Águas Lindas de Goiás" 2011 "f" 54 3
520025 "Águas Lindas de Goiás" 2011 "f" 55 1
520025 "Águas Lindas de Goiás" 2011 "f" 56 5
520025 "Águas Lindas de Goiás" 2011 "f" 57 1
520025 "Águas Lindas de Goiás" 2011 "f" 58 1
520025 "Águas Lindas de Goiás" 2011 "f" 59 5
520025 "Águas Lindas de Goiás" 2011 "f" 60 4
520025 "Águas Lindas de Goiás" 2011 "f" 61 1
520025 "Águas Lindas de Goiás" 2011 "f" 62 2
520025 "Águas Lindas de Goiás" 2011 "f" 63 4
520025 "Águas Lindas de Goiás" 2011 "f" 64 2
520025 "Águas Lindas de Goiás" 2011 "f" 65 2
520025 "Águas Lindas de Goiás" 2011 "f" 66 8
520025 "Águas Lindas de Goiás" 2011 "f" 67 1
520025 "Águas Lindas de Goiás" 2011 "f" 68 1
520025 "Águas Lindas de Goiás" 2011 "f" 69 4
520025 "Águas Lindas de Goiás" 2011 "f" 70 3
520025 "Águas Lindas de Goiás" 2011 "f" 71 1
520025 "Águas Lindas de Goiás" 2011 "f" 72 2
520025 "Águas Lindas de Goiás" 2011 "f" 74 6
520025 "Águas Lindas de Goiás" 2011 "f" 75 1
520025 "Águas Lindas de Goiás" 2011 "f" 76 1
520025 "Águas Lindas de Goiás" 2011 "f" 77 4
520025 "Águas Lindas de Goiás" 2011 "f" 78 2
520025 "Águas Lindas de Goiás" 2011 "f" 79 5
520025 "Águas Lindas de Goiás" 2011 "f" 80 2
520025 "Águas Lindas de Goiás" 2011 "f" 81 3
520025 "Águas Lindas de Goiás" 2011 "f" 82 1
520025 "Águas Lindas de Goiás" 2011 "f" 83 3
520025 "Águas Lindas de Goiás" 2011 "f" 85 1
520025 "Águas Lindas de Goiás" 2011 "f" 86 1
520025 "Águas Lindas de Goiás" 2011 "f" 88 1
520025 "Águas Lindas de Goiás" 2011 "f" 91 5
520025 "Águas Lindas de Goiás" 2011 "f" 92 1
520025 "Águas Lindas de Goiás" 2011 "f" 93 1
520025 "Águas Lindas de Goiás" 2011 "f" 96 2
520025 "Águas Lindas de Goiás" 2011 "f" 99 1
520025 "Águas Lindas de Goiás" 2011 "m" 0 15
520025 "Águas Lindas de Goiás" 2011 "m" 4 2
520025 "Águas Lindas de Goiás" 2011 "m" 5 1
520025 "Águas Lindas de Goiás" 2011 "m" 7 1
520025 "Águas Lindas de Goiás" 2011 "m" 13 1
520025 "Águas Lindas de Goiás" 2011 "m" 14 1
520025 "Águas Lindas de Goiás" 2011 "m" 15 2
520025 "Águas Lindas de Goiás" 2011 "m" 16 5
520025 "Águas Lindas de Goiás" 2011 "m" 17 7
520025 "Águas Lindas de Goiás" 2011 "m" 18 16
520025 "Águas Lindas de Goiás" 2011 "m" 19 6
520025 "Águas Lindas de Goiás" 2011 "m" 20 4
520025 "Águas Lindas de Goiás" 2011 "m" 21 5
520025 "Águas Lindas de Goiás" 2011 "m" 22 7
520025 "Águas Lindas de Goiás" 2011 "m" 23 8
520025 "Águas Lindas de Goiás" 2011 "m" 24 6
520025 "Águas Lindas de Goiás" 2011 "m" 25 10
520025 "Águas Lindas de Goiás" 2011 "m" 26 6
520025 "Águas Lindas de Goiás" 2011 "m" 27 3
520025 "Águas Lindas de Goiás" 2011 "m" 28 10
520025 "Águas Lindas de Goiás" 2011 "m" 29 4
520025 "Águas Lindas de Goiás" 2011 "m" 30 9
520025 "Águas Lindas de Goiás" 2011 "m" 31 1
520025 "Águas Lindas de Goiás" 2011 "m" 32 6
520025 "Águas Lindas de Goiás" 2011 "m" 33 7
520025 "Águas Lindas de Goiás" 2011 "m" 34 7
520025 "Águas Lindas de Goiás" 2011 "m" 35 6
520025 "Águas Lindas de Goiás" 2011 "m" 36 4
520025 "Águas Lindas de Goiás" 2011 "m" 37 4
520025 "Águas Lindas de Goiás" 2011 "m" 38 1
520025 "Águas Lindas de Goiás" 2011 "m" 39 2
520025 "Águas Lindas de Goiás" 2011 "m" 40 6
520025 "Águas Lindas de Goiás" 2011 "m" 41 5
520025 "Águas Lindas de Goiás" 2011 "m" 42 5
520025 "Águas Lindas de Goiás" 2011 "m" 43 3
520025 "Águas Lindas de Goiás" 2011 "m" 44 5
520025 "Águas Lindas de Goiás" 2011 "m" 45 3
520025 "Águas Lindas de Goiás" 2011 "m" 46 7
520025 "Águas Lindas de Goiás" 2011 "m" 47 11
520025 "Águas Lindas de Goiás" 2011 "m" 48 4
520025 "Águas Lindas de Goiás" 2011 "m" 49 6
520025 "Águas Lindas de Goiás" 2011 "m" 50 3
520025 "Águas Lindas de Goiás" 2011 "m" 51 3
