"p0" "mu_0" "sigma2_0" "rho_0" "mu" "sigma2" "rho" "k"
"(9.52, 15.03, 0.91)" 9.52 15.03 0.91 9.36 14.96 0.012 27
"(9.52, 15.03, 0.92)" 9.52 15.03 0.92 9.52 15.03 0.92 0
"(9.52, 15.03, 0.93)" 9.52 15.03 0.93 9.52 15.03 0.93 0
"(9.52, 15.03, 0.94)" 9.52 15.03 0.94 9.36 14.96 0.012 22
"(9.52, 15.03, 0.95)" 9.52 15.03 0.95 9.36 14.96 0.012 11
"(25, 25, 0.01)" 25 25 0.01 9.36 14.96 0.012 30
"(25, 25, 0.02)" 25 25 0.02 9.36 14.96 0.012 34
"(25, 25, 0.03)" 25 25 0.03 9.36 14.96 0.012 38
"(25, 25, 0.04)" 25 25 0.04 9.36 14.96 0.012 34
"(25, 25, 0.05)" 25 25 0.05 9.36 14.96 0.012 38
"(25, 25, 0.06)" 25 25 0.06 9.36 14.96 0.012 34
"(25, 25, 0.07)" 25 25 0.07 9.36 14.96 0.012 31
"(25, 25, 0.08)" 25 25 0.08 9.36 14.96 0.012 34
"(25, 25, 0.09)" 25 25 0.09 9.36 14.96 0.012 34
"(25, 25, 0.1)" 25 25 0.1 9.36 14.96 0.012 35
"(25, 25, 0.11)" 25 25 0.11 9.36 14.96 0.012 34
"(25, 25, 0.12)" 25 25 0.12 9.36 14.96 0.012 36
"(25, 25, 0.13)" 25 25 0.13 9.36 14.96 0.012 32
"(25, 25, 0.14)" 25 25 0.14 9.36 14.96 0.012 35
"(25, 25, 0.15)" 25 25 0.15 25 25 0.15 0
"(25, 25, 0.16)" 25 25 0.16 5.43 15.82 0.162 55
"(25, 25, 0.17)" 25 25 0.17 25 25 0.17 0
"(25, 25, 0.18)" 25 25 0.18 9.36 14.96 0.012 33
"(25, 25, 0.19)" 25 25 0.19 25 25 0.19 0
"(25, 25, 0.2)" 25 25 0.2 9.36 14.96 0.012 32
"(25, 25, 0.21)" 25 25 0.21 7.99 16.62 0.211 44
"(25, 25, 0.22)" 25 25 0.22 9.36 14.96 0.012 40
"(25, 25, 0.23)" 25 25 0.23 9.36 14.96 0.012 36
"(25, 25, 0.24)" 25 25 0.24 9.26 17.18 0.241 47
"(25, 25, 0.25)" 25 25 0.25 25 25 0.25 0
"(25, 25, 0.26)" 25 25 0.26 9.36 14.96 0.012 18
"(25, 25, 0.27)" 25 25 0.27 9.36 14.96 0.012 34
"(25, 25, 0.28)" 25 25 0.28 10.18 18.03 0.283 43
"(25, 25, 0.29)" 25 25 0.29 9.36 14.96 0.012 17
"(25, 25, 0.3)" 25 25 0.3 10.42 18.49 0.304 42
"(25, 25, 0.31)" 25 25 0.31 9.36 14.96 0.012 31
"(25, 25, 0.32)" 25 25 0.32 25 25 0.32 0
"(25, 25, 0.33)" 25 25 0.33 10.64 19.12 0.332 42
"(25, 25, 0.34)" 25 25 0.34 25 25 0.34 0
"(25, 25, 0.35)" 25 25 0.35 9.75 17.54 0.259 35
"(25, 25, 0.36)" 25 25 0.36 9.36 14.96 0.012 36
"(25, 25, 0.37)" 25 25 0.37 25 25 0.37 0
"(25, 25, 0.38)" 25 25 0.38 9.36 14.96 0.012 27
"(25, 25, 0.39)" 25 25 0.39 9.36 14.96 0.012 36
"(25, 25, 0.4)" 25 25 0.4 9.36 14.96 0.012 33
"(25, 25, 0.41)" 25 25 0.41 25 25 0.41 0
"(25, 25, 0.42)" 25 25 0.42 25 25 0.42 0
"(25, 25, 0.43)" 25 25 0.43 25 25 0.43 0
"(25, 25, 0.44)" 25 25 0.44 25 25 0.44 0
"(25, 25, 0.45)" 25 25 0.45 10.84 20.3 0.381 37
"(25, 25, 0.46)" 25 25 0.46 9.36 14.96 0.012 31
"(25, 25, 0.47)" 25 25 0.47 9.36 14.96 0.012 14
"(25, 25, 0.48)" 25 25 0.48 9.36 14.96 0.012 32
"(25, 25, 0.49)" 25 25 0.49 9.36 14.96 0.012 37
"(25, 25, 0.5)" 25 25 0.5 9.36 14.96 0.012 38
"(25, 25, 0.51)" 25 25 0.51 9.36 14.96 0.012 36
"(25, 25, 0.52)" 25 25 0.52 25 25 0.52 0
"(25, 25, 0.53)" 25 25 0.53 11.02 24.57 0.535 56
"(25, 25, 0.54)" 25 25 0.54 9.36 14.96 0.012 32
"(25, 25, 0.55)" 25 25 0.55 25 25 0.55 0
"(25, 25, 0.56)" 25 25 0.56 25 25 0.56 0
